央视频道,#genre#
//IPV6
CCTV1,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.65:5140
CCTV2,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.108:5140
CCTV3,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.101:5140
CCTV4,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.109:5140
CCTV5,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.100:5140
CCTV5+,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.241:5140
CCTV6,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.102:5140
CCTV7,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.110:5140
CCTV8,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.103:5140
CCTV9,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.111:5140
CCTV10,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.112:5140
CCTV11,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.22:5140
CCTV12,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.113:5140
CCTV13,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.24:5140
CCTV14,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.114:5140
CCTV15,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.26:5140
CCTV16,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.67:5140
CCTV16,http://ipv6.kjrzxhb.top:8888/rtp/239.10.0.187:5140
CCTV17,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.107:5140
CETV1,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.139:5140
CETV2,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.246:5140
CETV3,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.247:5140
CETV4,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.248:5140
CGTN,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.245:5140
CGTV,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.138:5140
//IPV4
CCTV1,http://192.168.1.1:8888/rtp/239.11.0.65:5140
CCTV2,http://192.168.1.1:8888/rtp/239.11.0.108:5140
CCTV3,http://192.168.1.1:8888/rtp/239.11.0.101:5140
CCTV4,http://192.168.1.1:8888/rtp/239.11.0.109:5140
CCTV5,http://192.168.1.1:8888/rtp/239.11.0.100:5140
CCTV5+,http://192.168.1.1:8888/rtp/239.11.0.241:5140
CCTV6,http://192.168.1.1:8888/rtp/239.11.0.102:5140
CCTV7,http://192.168.1.1:8888/rtp/239.11.0.110:5140
CCTV8,http://192.168.1.1:8888/rtp/239.11.0.103:5140
CCTV9,http://192.168.1.1:8888/rtp/239.11.0.111:5140
CCTV10,http://192.168.1.1:8888/rtp/239.11.0.112:5140
CCTV11,http://192.168.1.1:8888/rtp/239.11.0.22:5140
CCTV12,http://192.168.1.1:8888/rtp/239.11.0.113:5140
CCTV13,http://192.168.1.1:8888/rtp/239.11.0.24:5140
CCTV14,http://192.168.1.1:8888/rtp/239.11.0.114:5140
CCTV15,http://192.168.1.1:8888/rtp/239.11.0.26:5140
CCTV16,http://192.168.1.1:8888/rtp/239.11.0.67:5140
CCTV16,http://192.168.1.1:8888/rtp/239.10.0.187:5140
CCTV17,http://192.168.1.1:8888/rtp/239.11.0.107:5140
CETV1,http://192.168.1.1:8888/rtp/239.11.0.139:5140
CETV2,http://192.168.1.1:8888/rtp/239.11.0.246:5140
CETV3,http://192.168.1.1:8888/rtp/239.11.0.247:5140
CETV4,http://192.168.1.1:8888/rtp/239.11.0.248:5140
CGTN,http://192.168.1.1:8888/rtp/239.11.0.245:5140
CGTV,http://192.168.1.1:8888/rtp/239.11.0.138:5140
地方频道,#genre#
//IPV6
真4K,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.122:5140
爱上4K,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.120:5140
北京卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.121:5140
河北卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.31:5140
东方卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.68:5140
湖南卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.119:5140
黑龙江卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.36:5140
吉林卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.35:5140
江西卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.42:5140
东南卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.41:5140
河南卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.44:5140
浙江卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.70:5140
深圳卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.71:5140
山东卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.73:5140
湖北卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.74:5140
江苏卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.76:5140
四川卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.78:5140
广东卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.115:5140
广西卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.48:5140
贵州卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.51:5140
甘肃卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.55:5140
重庆卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.116:5140
安徽卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.117:5140
辽宁卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.118:5140
天津卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.123:5140
//IPV4
真4K,http://192.168.1.1:8888/rtp/239.11.0.122:5140
爱上4K,http://192.168.1.1:8888/rtp/239.11.0.120:5140
北京卫视,http://192.168.1.1:8888/rtp/239.11.0.121:5140
河北卫视,http://192.168.1.1:8888/rtp/239.11.0.31:5140
东方卫视,http://192.168.1.1:8888/rtp/239.11.0.68:5140
湖南卫视,http://192.168.1.1:8888/rtp/239.11.0.119:5140
黑龙江卫视,http://192.168.1.1:8888/rtp/239.11.0.36:5140
吉林卫视,http://192.168.1.1:8888/rtp/239.11.0.35:5140
江西卫视,http://192.168.1.1:8888/rtp/239.11.0.42:5140
东南卫视,http://192.168.1.1:8888/rtp/239.11.0.41:5140
河南卫视,http://192.168.1.1:8888/rtp/239.11.0.44:5140
浙江卫视,http://192.168.1.1:8888/rtp/239.11.0.70:5140
深圳卫视,http://192.168.1.1:8888/rtp/239.11.0.71:5140
山东卫视,http://192.168.1.1:8888/rtp/239.11.0.73:5140
湖北卫视,http://192.168.1.1:8888/rtp/239.11.0.74:5140
江苏卫视,http://192.168.1.1:8888/rtp/239.11.0.76:5140
四川卫视,http://192.168.1.1:8888/rtp/239.11.0.78:5140
广东卫视,http://192.168.1.1:8888/rtp/239.11.0.115:5140
广西卫视,http://192.168.1.1:8888/rtp/239.11.0.48:5140
贵州卫视,http://192.168.1.1:8888/rtp/239.11.0.51:5140
甘肃卫视,http://192.168.1.1:8888/rtp/239.11.0.55:5140
重庆卫视,http://192.168.1.1:8888/rtp/239.11.0.116:5140
安徽卫视,http://192.168.1.1:8888/rtp/239.11.0.117:5140
辽宁卫视,http://192.168.1.1:8888/rtp/239.11.0.118:5140
天津卫视,http://192.168.1.1:8888/rtp/239.11.0.123:5140
其他频道,#genre#
//IPV6
山西卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.32:5140
云南卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.52:5140
西藏卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.53:5140
陕西卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.54:5140
青海卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.56:5140
宁夏卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.57:5140
新疆卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.58:5140
内蒙古卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.33:5140
兵团卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.204:5140
延边卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.206:5140
海南卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.193:5140
安多卫视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.124:5140
哈哈炫动,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.64:5140
金鹰卡通,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.127:5140
BTV卡酷少儿,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.129:5140
嘉佳卡通,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.203:5140
优漫卡通,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.63:5140
山东教育,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.140:5140
会理新闻,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.239:5140
NewTV家庭剧场,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.131:5140
NewTV精品记录,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.132:5140
NewTV健康有约,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.133:5140
NewTV精品体育,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.134:5140
NewTV军事评论,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.136:5140
NewTV农业致富,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.137:5140
NewTV古装剧场,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.141:5140
NewTV动作电影,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.142:5140
NewTV军旅剧场,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.143:5140
NewTV惊悚悬疑,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.144:5140
NewTV,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.145:5140
NewTV搏击,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.146:5140
NewTV,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.147:5140
NewTV爱情喜剧,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.149:5140
NewTV精品大剧,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.150:5140
NewTV中国功夫,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.151:5140
NewTV金牌综艺,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.152:5140
UTV影视精选,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.170:5140
UTV热播剧场,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.171:5140
UTV优视影院,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.172:5140
UTV经典影视,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.173:5140
UTV舞蹈视界,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.174:5140
UTV纪实天下,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.176:5140
UTV都市剧场,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.175:5140
UTV经典剧场,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.178:5140
UTV电影天地,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.177:5140
UTV家庭影院,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.179:5140
UTV第一电影,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.180:5140
UTV卡通动画,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.181:5140
UTV金色童年,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.182:5140
UTV风云体育,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.184:5140
UTV文化教育,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.183:5140
UTV钓鱼生活,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.185:5140
UTV优视教育,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.187:5140
UTV炫酷动漫,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.186:5140
UTV时尚音乐,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.188:5140
UTV第一剧场,http://ipv6.kjrzxhb.top:8888/rtp/239.11.0.189:5140
//IPV4
山西卫视,http://192.168.1.1:8888/rtp/239.11.0.32:5140
云南卫视,http://192.168.1.1:8888/rtp/239.11.0.52:5140
西藏卫视,http://192.168.1.1:8888/rtp/239.11.0.53:5140
陕西卫视,http://192.168.1.1:8888/rtp/239.11.0.54:5140
青海卫视,http://192.168.1.1:8888/rtp/239.11.0.56:5140
宁夏卫视,http://192.168.1.1:8888/rtp/239.11.0.57:5140
新疆卫视,http://192.168.1.1:8888/rtp/239.11.0.58:5140
内蒙古卫视,http://192.168.1.1:8888/rtp/239.11.0.33:5140
兵团卫视,http://192.168.1.1:8888/rtp/239.11.0.204:5140
延边卫视,http://192.168.1.1:8888/rtp/239.11.0.206:5140
海南卫视,http://192.168.1.1:8888/rtp/239.11.0.193:5140
安多卫视,http://192.168.1.1:8888/rtp/239.11.0.124:5140
哈哈炫动,http://192.168.1.1:8888/rtp/239.11.0.64:5140
金鹰卡通,http://192.168.1.1:8888/rtp/239.11.0.127:5140
BTV卡酷少儿,http://192.168.1.1:8888/rtp/239.11.0.129:5140
嘉佳卡通,http://192.168.1.1:8888/rtp/239.11.0.203:5140
优漫卡通,http://192.168.1.1:8888/rtp/239.11.0.63:5140
山东教育,http://192.168.1.1:8888/rtp/239.11.0.140:5140
会理新闻,http://192.168.1.1:8888/rtp/239.11.0.239:5140
NewTV家庭剧场,http://192.168.1.1:8888/rtp/239.11.0.131:5140
NewTV精品记录,http://192.168.1.1:8888/rtp/239.11.0.132:5140
NewTV健康有约,http://192.168.1.1:8888/rtp/239.11.0.133:5140
NewTV精品体育,http://192.168.1.1:8888/rtp/239.11.0.134:5140
NewTV军事评论,http://192.168.1.1:8888/rtp/239.11.0.136:5140
NewTV农业致富,http://192.168.1.1:8888/rtp/239.11.0.137:5140
NewTV古装剧场,http://192.168.1.1:8888/rtp/239.11.0.141:5140
NewTV动作电影,http://192.168.1.1:8888/rtp/239.11.0.142:5140
NewTV军旅剧场,http://192.168.1.1:8888/rtp/239.11.0.143:5140
NewTV惊悚悬疑,http://192.168.1.1:8888/rtp/239.11.0.144:5140
NewTV,http://192.168.1.1:8888/rtp/239.11.0.145:5140
NewTV搏击,http://192.168.1.1:8888/rtp/239.11.0.146:5140
NewTV,http://192.168.1.1:8888/rtp/239.11.0.147:5140
NewTV爱情喜剧,http://192.168.1.1:8888/rtp/239.11.0.149:5140
NewTV精品大剧,http://192.168.1.1:8888/rtp/239.11.0.150:5140
NewTV中国功夫,http://192.168.1.1:8888/rtp/239.11.0.151:5140
NewTV金牌综艺,http://192.168.1.1:8888/rtp/239.11.0.152:5140
UTV影视精选,http://192.168.1.1:8888/rtp/239.11.0.170:5140
UTV热播剧场,http://192.168.1.1:8888/rtp/239.11.0.171:5140
UTV优视影院,http://192.168.1.1:8888/rtp/239.11.0.172:5140
UTV经典影视,http://192.168.1.1:8888/rtp/239.11.0.173:5140
UTV舞蹈视界,http://192.168.1.1:8888/rtp/239.11.0.174:5140
UTV纪实天下,http://192.168.1.1:8888/rtp/239.11.0.176:5140
UTV都市剧场,http://192.168.1.1:8888/rtp/239.11.0.175:5140
UTV经典剧场,http://192.168.1.1:8888/rtp/239.11.0.178:5140
UTV电影天地,http://192.168.1.1:8888/rtp/239.11.0.177:5140
UTV家庭影院,http://192.168.1.1:8888/rtp/239.11.0.179:5140
UTV第一电影,http://192.168.1.1:8888/rtp/239.11.0.180:5140
UTV卡通动画,http://192.168.1.1:8888/rtp/239.11.0.181:5140
UTV金色童年,http://192.168.1.1:8888/rtp/239.11.0.182:5140
UTV风云体育,http://192.168.1.1:8888/rtp/239.11.0.184:5140
UTV文化教育,http://192.168.1.1:8888/rtp/239.11.0.183:5140
UTV钓鱼生活,http://192.168.1.1:8888/rtp/239.11.0.185:5140
